Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3302,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0,0.08,0.61
3308,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
3310,Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0,0.03,0.61
3311,Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,0.34,0.23,0,0.04,0.61
3321,Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.34,0.23,0,0.04,0.61
3322,Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.44,0.16,0,0.01,0.61
3323,Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0,0.01,0.61
3327,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0,0.01,0.61
3329,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0,0.05,0.61
3332,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.5,0.02,0,0.08,0.61
3333,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0,0.06,0.61
3334,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0,0.06,0.61
3341,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08,0.6
3342,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0,0.02,0.6
3344,The Golden Compass,DS,2007,Action,Sega,0.28,0.25,0,0.06,0.6
3346,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0,0.05,0.6
3347,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0,0.05,0.6
3348,The Golden Compass,Wii,N/A,Action,Sega,0.26,0.28,0,0.07,0.6
3351,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6
3353,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
3357,Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0,0.14,0.6
3358,Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0,0.08,0.6
3360,Half-Life,PS2,2001,Shooter,Vivendi Games,0.29,0.23,0,0.08,0.6
3361,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0,0.05,0.6
3367,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0,0,0.56,0.04,0.6
3373,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0,0.04,0.6
3378,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0,0.1,0.6
3381,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0,0.09,0.6
3384,Dead Space,PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59
3392,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59
3395,Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.46,0.12,0,0.02,0.59
3397,Iron Man,Wii,2008,Action,Sega,0.31,0.22,0,0.06,0.59
3398,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
3403,Yakuza 5,PS3,2012,Action,Sega,0,0,0.59,0,0.59
3404,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.24,0,0.14,0.59
3406,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0,0.07,0.59
3410,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59
3412,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0,0.04,0.59
3413,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0,0.04,0.59
3416,Payday 2,X360,2013,Shooter,505 Games,0.33,0.21,0,0.05,0.59
3419,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59
3422,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
3426,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.33,0.22,0,0.04,0.59
3427,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0,0.07,0.59
3431,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0,0.1,0.59
3432,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0,0.09,0.59
3438,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.22,0,0.1,0.59
3439,Mega Man X7,PS2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58
3440,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0,0.07,0.58
3442,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0,0.07,0.58
3443,The Conduit,Wii,2009,Shooter,Sega,0.29,0.23,0,0.06,0.58
3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0,0.07,0.58
3461,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
3464,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.28,0.22,0,0.07,0.58
3465,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.37,0.15,0,0.05,0.58
3471,Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58
3474,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0,0.03,0.58
3478,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.25,0,0.31,0.02,0.58
3479,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58
3481,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0,0.07,0.58
3490,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
3491,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0,0.04,0.58
3494,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0,0.07,0.58
3505,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.37,0,0.12,0.57
3508,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.23,0,0.06,0.57
3511,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0,0.02,0.57
3514,Up,Wii,2009,Action,THQ,0.23,0.28,0,0.06,0.57
3516,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.15,0,0.05,0.57
3517,Iron Man,X360,2008,Action,Sega,0.27,0.24,0,0.06,0.57
3519,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,0.41,0.15,0,0.01,0.57
3520,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57
3521,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.53,0,0,0.04,0.57
3523,Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0,0.33,0.57
3524,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.23,0,0.13,0.57
3525,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.27,0,0.06,0.57
3527,No More Heroes,Wii,2007,Action,Rising Star Games,0.3,0.17,0.04,0.05,0.57
3528,Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0,0.11,0.57
3530,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0,0.08,0.57
3531,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.15,0,0.04,0.57
3534,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0,0,0.57,0,0.57
3537,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.07,0.57
3539,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0,0.02,0.57
3540,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57
3541,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0,0.05,0.57
3548,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.25,0.04,0.09,0.57
3552,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57
3553,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0,0.04,0.57
3554,XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0,0.07,0.57
3558,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0,0.07,0.57
3559,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57
3560,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0,0.05,0.56
3562,True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0,0.02,0.56
3565,The Incredible Hulk,GBA,2003,Action,Universal Interactive,0.4,0.15,0,0.01,0.56
3568,The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.4,0.15,0,0.01,0.56
3579,Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0,0.07,0.56
3580,Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0,0.04,0.56
3581,Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.32,0.19,0,0.05,0.56
3583,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0,0.02,0.56
3584,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0,0.06,0.56
3591,WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0,0.02,0.56
3592,Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56
3594,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0,0.07,0.56
3599,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56
3602,Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56
3608,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.32,0.18,0,0.05,0.56
3611,Fatal Fury Special,SNES,1994,Fighting,Takara,0,0,0.56,0,0.56
3618,G-Force,DS,2009,Action,Disney Interactive Studios,0.27,0.23,0,0.06,0.56
3620,Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0.21,0,0.07,0.56
3627,God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.56
3630,Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.15,0.2,0.14,0.07,0.55
3634,Soul Reaver 2,PS2,2001,Action,Eidos Interactive,0.27,0.21,0,0.07,0.55
3635,Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55
3637,The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0,0.02,0.55
3639,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.28,0,0.05,0.55
3641,WWF Raw,XB,2002,Fighting,THQ,0.4,0.13,0,0.02,0.55
3643,Jump Super Stars,DS,2005,Fighting,Nintendo,0,0,0.55,0,0.55
3644,Legends of WrestleMania,PS3,2009,Fighting,THQ,0.3,0.17,0,0.07,0.55
3646,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher,0.31,0.21,0,0.04,0.55
3648,Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0,0.04,0.55
3650,Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.55,0,0.55
3651,Extermination,PS2,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55
3653,Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.29,0.15,0.04,0.07,0.55
3654,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.32,0.16,0.03,0.05,0.55
3655,TMNT,X360,2007,Action,Ubisoft,0.47,0.04,0,0.04,0.55
3656,F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.27,0,0.1,0.55
3658,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.17,0.33,0,0.05,0.55
3665,Contender 2,PS,2000,Fighting,3DO,0.31,0.21,0,0.04,0.55
3666,The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55
3667,Star Wars: Dark Forces,PS,1996,Shooter,LucasArts,0.31,0.21,0,0.04,0.55
3672,Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,0.18,0.21,0.07,0.08,0.55
3673,SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ,0.39,0.15,0,0.01,0.55
3675,Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0,0.05,0.55
3679,Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,0.11,0.05,0.36,0.02,0.55
3680,Mortal Kombat 3,PS,1995,Fighting,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55
3681,Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,0.39,0.14,0,0.02,0.55
3683,Metro 2033,X360,2010,Shooter,THQ,0.22,0.24,0.03,0.05,0.55
3687,Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,0.4,0.12,0,0.02,0.55
3688,Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,0.26,0.08,0.13,0.07,0.55
3689,LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.32,0,0.1,0.54
3690,Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54
3709,LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.15,0.3,0,0.09,0.54
3713,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.54
3714,Manhunt 2,Wii,2007,Action,Take-Two Interactive,0.25,0.23,0,0.06,0.54
3717,Def Jam: Fight for NY,XB,N/A,Fighting,Electronic Arts,0.43,0.1,0,0.02,0.54
3718,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54
3719,Gauntlet Legends,N64,1999,Action,Midway Games,0.43,0.1,0,0.01,0.54
3721,Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54
3722,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54
3725,Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54
3731,Middle-Earth: Shadow of Mordor,X360,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.21,0,0.05,0.54
3734,Terminator Salvation,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.29,0.01,0.11,0.54
3737,How to Train Your Dragon,DS,2010,Action,Activision,0.32,0.17,0,0.05,0.54
3739,WWE SmackDown vs. Raw 2010,DS,2009,Fighting,THQ,0.35,0.14,0,0.05,0.54
3740,Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0,0.02,0.54
3742,Star Fox Command,DS,2006,Shooter,Nintendo,0.39,0.01,0.1,0.04,0.54
3748,Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.32,0,0.08,0.54
3749,Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.17,0,0.04,0.54
3753,War of the Monsters,PS2,2003,Fighting,Sony Computer Entertainment,0.26,0.2,0,0.07,0.54
3756,The Incredible Hulk: Ultimate Destruction,PS2,2005,Action,Vivendi Games,0.26,0.2,0,0.07,0.54
3757,Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.37,0,0.04,0.54
3760,Time Crisis II,PS2,2001,Shooter,Namco Bandai Games,0.26,0.2,0,0.07,0.53
3763,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008,Action,THQ,0.49,0,0,0.04,0.53
3767,Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive,0.26,0.2,0,0.07,0.53
3771,Conflict: Vietnam,PS2,2004,Shooter,SCi,0.26,0.2,0,0.07,0.53
3780,LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.28,0.19,0.02,0.04,0.53
3785,Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,Ubisoft,0.34,0.17,0,0.02,0.53
3790,Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts,0.32,0.19,0,0.02,0.53
3791,Batman: Arkham City,PC,2011,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0,0.09,0.53
3793,The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive,0.31,0.19,0,0.03,0.53
3796,Spider-Man,N64,2000,Action,Activision,0.43,0.09,0,0.01,0.53
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Shooter,Ubisoft,0.35,0.1,0,0.08,0.53
3803,Bulletstorm,PS3,2011,Shooter,Electronic Arts,0.23,0.2,0.01,0.08,0.53
3804,F.E.A.R. 2: Project Origin,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0,0.05,0.53
3809,Oni,PS2,2001,Action,Take-Two Interactive,0.26,0.2,0,0.07,0.53
3810,The Lord of the Rings: The Two Towers,GC,2002,Action,Electronic Arts,0.41,0.11,0,0.01,0.53
3812,The Warriors,PS2,2005,Action,Take-Two Interactive,0.44,0.02,0,0.07,0.53
3813,Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.2,0.2,0,0.13,0.53
3815,Go Diego Go! Safari Rescue,Wii,2008,Action,Take-Two Interactive,0.48,0.01,0,0.04,0.53
3816,The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.17,0,0.08,0.53
3819,Silent Hill: Origins,PSP,2007,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.1,0.53
3823,Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Shooter,Activision,0.26,0.2,0,0.07,0.53
3826,Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04,0.52
3832,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,0.45,0.04,0,0.04,0.52
3833,Fight Night Round 3,PSP,2006,Fighting,Electronic Arts,0.46,0.02,0,0.05,0.52
3834,The Golden Compass,PS2,2007,Action,Sega,0.13,0,0,0.39,0.52
3837,Syphon Filter 3,PS,2001,Shooter,Sony Computer Entertainment,0.29,0.2,0,0.03,0.52
3838,Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,LucasArts,0.44,0.04,0,0.04,0.52
3839,Metal Gear Solid 2: Substance,PS2,2002,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52
3842,Way of the Samurai 3,PS3,2008,Action,Gamebridge,0.18,0.08,0.22,0.04,0.52
3845,Ready 2 Rumble Boxing: Round 2,PS,2000,Fighting,Midway Games,0.29,0.2,0,0.03,0.52
3847,Mission: Impossible,PS,1999,Action,Infogrames,0.29,0.2,0,0.03,0.52
3849,Rival Schools: United By Fate,PS,1998,Fighting,Capcom,0.12,0.08,0.28,0.03,0.52
3850,Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive,0.17,0.29,0,0.06,0.52
3852,PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
3853,Ratatouille,PS3,2007,Action,THQ,0.09,0.32,0,0.11,0.52
3855,Kung Fu Panda,PS3,2008,Action,Activision,0.21,0.21,0,0.09,0.52
3858,Tomb Raider: Legend,PS2,2006,Action,Eidos Interactive,0.25,0.19,0.02,0.06,0.52
3859,Ratatouille,Wii,2007,Action,THQ,0.44,0.04,0,0.04,0.52
3860,Freedom Fighters,PS2,2003,Shooter,Electronic Arts,0.25,0.2,0,0.07,0.52
3861,Gun,XB,2005,Shooter,Activision,0.38,0.12,0,0.02,0.52
3863,Lair,PS3,2007,Action,Sony Computer Entertainment,0.36,0.04,0.08,0.04,0.52
3865,The Punisher,PS2,2005,Action,THQ,0.25,0.2,0,0.07,0.52
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,Electronic Arts,0.37,0.14,0,0.01,0.52
3872,Omega Boost,PS,1999,Shooter,Sony Computer Entertainment,0.17,0.11,0.2,0.03,0.52
3874,Iron Man,DS,2008,Action,Sega,0.35,0.12,0,0.05,0.52
3879,Way of the Samurai,PS2,2002,Action,Eidos Interactive,0.13,0.1,0.25,0.03,0.51
3881,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,Namco Bandai Games,0.29,0.17,0.01,0.04,0.51
3884,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.34,0.13,0,0.04,0.51
3886,Prince of Persia Trilogy,PS3,2010,Action,Ubisoft,0.17,0.25,0,0.09,0.51
3892,SoulCalibur: Broken Destiny,PSP,2009,Fighting,Namco Bandai Games,0.12,0.2,0.07,0.12,0.51
3893,The Saboteur,X360,2009,Action,Electronic Arts,0.26,0.21,0,0.05,0.51
3896,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0,0.05,0.51
3905,Dynasty Warriors,PSP,2004,Action,Tecmo Koei,0.18,0.01,0.3,0.02,0.51
3907,Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai Games,0.36,0.09,0.02,0.04,0.51
3912,Monsters vs. Aliens,DS,2009,Action,Activision,0.33,0.13,0,0.05,0.51
3913,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010,Shooter,Activision,0.24,0.19,0,0.08,0.51
3915,Lost: Via Domus,PS3,2008,Action,Ubisoft,0.19,0.23,0,0.09,0.51
3919,WWE SmackDown vs. RAW 2007,X360,2006,Fighting,THQ,0.44,0.03,0,0.04,0.51
3924,LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.16,0,0.05,0.51
3928,Harry Potter and the Half-Blood Prince,PSP,2009,Action,Electronic Arts,0.18,0.21,0,0.12,0.51
3929,Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.27,0.19,0.01,0.04,0.51
3930,NBA 2K11,Wii,2010,Action,Take-Two Interactive,0.47,0.01,0,0.03,0.51
3935,Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.24,0,0.08,0.51
3937,Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Atari,0.36,0.13,0,0.01,0.51
3938,Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0,0.06,0.51
3941,Silent Hill 4: The Room,PS2,2004,Action,Konami Digital Entertainment,0.25,0.19,0,0.06,0.51
3942,River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51
3945,Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
3949,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,THQ,0.36,0.13,0,0.01,0.5
3954,Wet,X360,N/A,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
3955,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5
3957,Pro Evolution Soccer 2012,X360,2011,Action,Konami Digital Entertainment,0.1,0.34,0,0.07,0.5
3962,Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,Atari,0.14,0.02,0.32,0.02,0.5
3965,The Mummy Returns,PS2,2001,Action,Universal Interactive,0.25,0.19,0,0.06,0.5
3966,Hitman: Blood Money,PS2,2006,Action,Eidos Interactive,0.25,0.19,0,0.06,0.5
3968,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5
3972,LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0,0.04,0.5
3976,Bleach: Soul Resurreccion,PS3,2011,Fighting,Nippon Ichi Software,0.27,0.11,0.07,0.05,0.5
3978,Rugrats in Paris: The Movie,N64,2000,Action,THQ,0.4,0.09,0,0.01,0.5
3986,Spider-Man 2,DS,2004,Action,Activision,0.41,0.02,0.03,0.04,0.5
3988,Dead or Alive Ultimate,XB,2004,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5
3991,Star Wars: Clone Wars,PS2,2002,Shooter,LucasArts,0.24,0.19,0,0.06,0.5
3992,The Saboteur,PS3,2009,Action,Electronic Arts,0.2,0.22,0,0.08,0.5
3993,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,THQ,0.24,0.19,0,0.06,0.5
3994,Metal Gear Rising: Revengeance,X360,2013,Action,Konami Digital Entertainment,0.29,0.16,0,0.04,0.5
3997,Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.5
4005,Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5
4006,Shrek SuperSlam,PS2,2005,Action,Activision,0.24,0.19,0,0.06,0.5
4010,Tomb Raider: Anniversary,PS2,2007,Action,Eidos Interactive,0.41,0.02,0,0.07,0.5
4011,Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0,0.07,0.5
4012,Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.2,0,0.08,0.5
4013,Men in Black II: Alien Escape,PS2,2002,Shooter,Infogrames,0.24,0.19,0,0.06,0.5
4014,The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.2,0.01,0.04,0.5
4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5
4021,Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49
4022,Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49
4023,Super Monkey Ball 3D,3DS,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0,0,0.49,0,0.49
4029,Lego Batman 3: Beyond Gotham,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.29,0,0.11,0.49
4030,The Matrix: Path of Neo,PS2,2005,Action,Atari,0.41,0.01,0,0.07,0.49
4031,Kane & Lynch 2: Dog Days,X360,2010,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49
